X,Y,Z,W
-0.31,-0.09,0.0,1.0
-0.2,-0.11,0.0,1.0
-0.09,-0.13,0.0,1.0
0.02,-0.16,0.0,1.0
0.13,-0.17,0.0,1.0
0.23,-0.18,0.0,1.0
0.33,-0.19,0.0,1.0
0.44,-0.2,0.0,1.0
0.56,-0.21,0.0,1.0
0.67,-0.22,0.0,1.0
0.79,-0.22,0.0,1.0
0.89,-0.23,0.0,1.0
0.99,-0.24,0.0,1.0
1.11,-0.23,0.0,1.0
1.22,-0.23,0.0,1.0
1.32,-0.23,0.0,1.0
1.42,-0.22,0.0,1.0
1.53,-0.22,0.0,1.0
1.64,-0.22,0.0,1.0
1.74,-0.2,0.0,1.0
1.82,-0.14,0.0,1.0
1.94,-0.12,0.0,1.0
2.03,-0.04,0.0,1.0
2.08,0.06,0.0,1.0
2.1,0.16,0.0,1.0
2.05,0.26,0.0,1.0
1.93,0.35,0.0,1.0
1.83,0.38,0.0,1.0
1.69,0.41,0.0,1.0
1.63,0.51,0.0,1.0
1.74,0.62,0.0,1.0
1.93,0.75,0.0,1.0
2.08,0.84,0.0,1.0
2.13,0.94,0.0,1.0
2.08,1.03,0.0,1.0
1.99,1.11,0.0,1.0
1.88,1.17,0.0,1.0
1.77,1.21,0.0,1.0
1.66,1.23,0.0,1.0
1.53,1.24,0.0,1.0
1.42,1.22,0.0,1.0
1.33,1.27,0.0,1.0
1.23,1.31,0.0,1.0
1.12,1.34,0.0,1.0
1.01,1.36,0.0,1.0
0.89,1.38,0.0,1.0
0.78,1.39,0.0,1.0
0.68,1.41,0.0,1.0
0.58,1.43,0.0,1.0
0.46,1.45,0.0,1.0
0.36,1.49,0.0,1.0
0.26,1.5,0.0,1.0
0.16,1.53,0.0,1.0
0.03,1.54,0.0,1.0
-0.04,1.62,0.0,1.0
-0.1,1.73,0.0,1.0
-0.15,1.82,0.0,1.0
-0.22,1.9,0.0,1.0
-0.27,2.0,0.0,1.0
-0.32,2.1,0.0,1.0
-0.35,2.2,0.0,1.0
-0.36,2.3,0.0,1.0
-0.31,2.41,0.0,1.0
-0.28,2.51,0.0,1.0
-0.23,2.62,0.0,1.0
-0.2,2.72,0.0,1.0
-0.15,2.81,0.0,1.0
-0.06,2.88,0.0,1.0
0.03,2.96,0.0,1.0
0.14,3.01,0.0,1.0
0.24,3.06,0.0,1.0
0.35,3.08,0.0,1.0
0.45,3.09,0.0,1.0
0.55,3.09,0.0,1.0
0.64,3.15,0.0,1.0
0.77,3.16,0.0,1.0
0.87,3.15,0.0,1.0
1.0,3.17,0.0,1.0
1.11,3.15,0.0,1.0
1.21,3.16,0.0,1.0
1.29,3.22,0.0,1.0
1.39,3.28,0.0,1.0
1.45,3.37,0.0,1.0
1.53,3.44,0.0,1.0
1.59,3.53,0.0,1.0
1.6,3.63,0.0,1.0
1.65,3.74,0.0,1.0
1.64,3.84,0.0,1.0
1.62,3.95,0.0,1.0
1.59,4.05,0.0,1.0
1.51,4.12,0.0,1.0
1.4,4.18,0.0,1.0
1.28,4.24,0.0,1.0
1.19,4.31,0.0,1.0
1.22,4.56,0.0,1.0
1.22,4.66,0.0,1.0
1.28,4.74,0.0,1.0
1.21,4.83,0.0,1.0
1.11,4.87,0.0,1.0
0.99,4.89,0.0,1.0
0.89,4.92,0.0,1.0
0.79,4.96,0.0,1.0
0.69,4.98,0.0,1.0
0.59,5.0,0.0,1.0
0.48,5.02,0.0,1.0
0.38,5.03,0.0,1.0
0.27,5.04,0.0,1.0
0.16,5.04,0.0,1.0
0.04,5.03,0.0,1.0
-0.06,5.02,0.0,1.0
-0.17,5.02,0.0,1.0
-0.29,5.03,0.0,1.0
-0.4,5.04,0.0,1.0
-0.51,5.04,0.0,1.0
-0.61,5.05,0.0,1.0
-0.72,5.06,0.0,1.0
-0.83,5.04,0.0,1.0
-0.94,5.04,0.0,1.0
-1.05,5.05,0.0,1.0
-1.15,5.07,0.0,1.0
-1.26,5.03,0.0,1.0
-1.36,4.99,0.0,1.0
-1.47,4.97,0.0,1.0
-1.57,4.98,0.0,1.0
-1.65,4.92,0.0,1.0
-1.75,4.88,0.0,1.0
-1.8,4.79,0.0,1.0
-1.79,4.68,0.0,1.0
-1.87,4.61,0.0,1.0
-1.98,4.61,0.0,1.0
-2.03,4.48,0.0,1.0
-2.06,4.38,0.0,1.0
-2.18,4.35,0.0,1.0
-2.52,4.45,0.0,1.0
-2.62,4.46,0.0,1.0
-2.68,4.38,0.0,1.0
-2.74,4.29,0.0,1.0
-2.79,4.2,0.0,1.0
-2.83,4.1,0.0,1.0
-2.86,4.0,0.0,1.0
-2.89,3.9,0.0,1.0
-2.92,3.78,0.0,1.0
-2.95,3.67,0.0,1.0
-2.98,3.57,0.0,1.0
-3.0,3.46,0.0,1.0
-3.03,3.35,0.0,1.0
-3.05,3.25,0.0,1.0
-3.06,3.14,0.0,1.0
-3.05,3.04,0.0,1.0
-3.07,2.94,0.0,1.0
-3.08,2.83,0.0,1.0
-3.1,2.73,0.0,1.0
-3.1,2.63,0.0,1.0
-3.11,2.53,0.0,1.0
-3.1,2.43,0.0,1.0
-3.11,2.32,0.0,1.0
-3.1,2.21,0.0,1.0
-3.09,2.11,0.0,1.0
-3.06,2.0,0.0,1.0
-3.06,1.9,0.0,1.0
-3.04,1.79,0.0,1.0
-2.99,1.68,0.0,1.0
-2.94,1.58,0.0,1.0
-2.9,1.47,0.0,1.0
-2.87,1.37,0.0,1.0
-2.87,1.27,0.0,1.0
-2.88,1.17,0.0,1.0
-2.85,1.06,0.0,1.0
-2.8,0.95,0.0,1.0
-2.74,0.86,0.0,1.0
-2.66,0.78,0.0,1.0
-2.58,0.71,0.0,1.0
-2.47,0.64,0.0,1.0
-2.37,0.6,0.0,1.0
-2.25,0.55,0.0,1.0
-2.15,0.52,0.0,1.0
-2.03,0.48,0.0,1.0
-1.93,0.44,0.0,1.0
-1.82,0.4,0.0,1.0
-1.72,0.37,0.0,1.0
-1.61,0.33,0.0,1.0
-1.51,0.29,0.0,1.0
-1.4,0.26,0.0,1.0
-1.29,0.24,0.0,1.0
-1.18,0.22,0.0,1.0
-1.07,0.21,0.0,1.0
